image_idx0,image_idx1,matching_score,pose_error
0,972,0.048795935,2.564012091177077
0,64,0.036488153,6.873075019659815
0,1099,0.037903573,5.903370861258744
0,1140,0.027483609,5.385962794563204
0,302,0.03286653,36.21289216259081
0,739,0.03488342,33.78519845898812
0,912,0.05921787,9.493416081886027
0,385,0.031194571,44.32641761426106
0,232,0.05677965,27.38207168620574
0,539,0.043664586,44.23184728263162
0,1033,0.040155023,6.990823776408585
0,143,0.051389925,16.42194966880783
0,523,0.033542436,44.21436455238278
0,903,0.037021652,11.217198778839645
0,410,0.024347588,44.297649819631914
0,75,0.041567173,7.8970397158341
0,828,0.033117615,22.754227795173758
0,483,0.024948047,44.32896368787581
0,653,0.037042003,42.91297795641391
0,115,0.039359327,12.850786097460302
0,37,0.043329883,3.9293273571626623
0,446,0.0287016,44.275360963683035
0,720,0.037815884,35.72600400210114
0,225,0.04182386,26.614207078689756
0,745,0.039663892,32.939359400888826
0,440,0.04134774,44.21857268429822
0,680,0.016777482,40.17532909355209
0,706,0.024571672,37.29374493306973
0,872,0.049118176,16.045654397454054
0,656,0.038232647,42.713867971140814
0,1090,0.028065003,6.03704469619344
0,180,0.058638513,21.11229230657014
0,952,0.052118976,3.464381626375024
0,758,0.036348164,31.60473341519679
0,649,0.03200096,43.160457575639136
0,691,0.0223557,38.97314647978116
0,151,0.044214983,17.965893450660953
0,488,0.047669277,44.31876175635912
0,818,0.03463802,24.105052290191722
0,993,0.06917877,5.003441843368125
0,510,0.06916533,44.22107203309797
0,664,0.033851057,41.90727362280473
0,678,0.0100334,40.28468092684246
0,999,0.07255379,6.007485824988431
0,998,0.042157095,5.740912728926129
0,288,0.037584335,34.35547981718064
0,669,0.031771854,41.5444081279841
0,135,0.07058759,15.46977891342534
0,282,0.040826224,33.729249244835984
0,1053,0.051031467,6.73591203635162
0,672,0.03302949,40.82075838776203
0,559,0.042814184,44.229163124623575
0,447,0.02502771,44.300488629116494
0,500,0.036852486,44.274978704762994
0,391,0.036440294,44.27789047905454
0,581,0.039182257,44.21671041071751
0,840,0.038964484,21.235185497109047
0,1132,0.023554329,5.393806774020241
0,255,0.040411614,30.269008195997106
0,74,0.048838288,7.761229085526087
0,1116,0.037516933,5.502842323978369
0,214,0.0447271,25.398327500156
0,703,0.02428276,37.57168663612342
0,479,0.03843285,44.320715578596364
0,959,0.03705873,2.739117085275542
0,1044,0.03724831,6.910708009772915
0,43,0.057627857,4.360784631611984
0,430,0.046912357,44.24808344683687
0,626,0.030182263,44.137625247590954
0,1035,0.039453056,6.974870941183561
0,646,0.04727217,43.31342418707515
0,1001,0.054390505,6.007485824988431
0,881,0.040539317,14.779404817922199
0,682,0.012343318,39.83672734078663
0,992,0.06383293,4.806184204535783
0,1098,0.040677976,5.86632320613247
0,1078,0.058476184,6.352973770586781
0,172,0.05968907,20.391597753798717
0,657,0.035443313,42.54255817976729
0,751,0.028865706,32.46407870119968
0,793,0.041995797,27.352717464499225
0,72,0.040586412,7.851763284515986
0,521,0.03190514,44.2170955383178
0,1064,0.038965266,6.706397924743392
0,263,0.03980422,31.26879900928537
0,579,0.03571923,44.21637995107619
0,393,0.03364984,44.27861927992169
0,1085,0.038602553,6.196197487772496
0,716,0.03141976,36.21721043752352
0,131,0.048989717,14.93092447822881
0,466,0.030586733,44.27198866621584
0,923,0.049464934,7.874993882525858
0,1097,0.039016925,5.903370861258744
0,536,0.0396122,44.238158346063365
0,771,0.030444458,30.064547229287147
0,336,0.028913783,39.9073050222424
0,120,0.040733688,13.735391934335249
0,100,0.043171756,10.875681076156981
0,52,0.041573275,5.573919852623887
0,769,0.030983837,30.415637098651796
0,373,0.035703152,44.61262422017929
0,791,0.04474027,27.865996464015485
0,86,0.03458898,9.304827028446892
0,1110,0.054109853,5.626653821986531
0,452,0.03255815,44.26801408131284
0,918,0.048930507,8.532140792928015
